player_id,player_first_name,player_last_name,player_short_first_name,player_short_last_name,player_match_name,player_nationality,player_position,player_place_of_birth,player_known_name,last_updated
675,Natalie,Beckman,Natalie,Beckman,N. Beckman,USA,Attacker,Aurora,NA,9/3/23
676,Samantha Grace,Coffey,Sam,Coffey,S. Coffey,USA,Midfielder,New York City,NA,4/4/24
677,Gabriella Alyssa,Provenzano,Gabby,Provenzano,G. Provenzano,USA,Midfielder,Sargeantsville,NA,4/4/24
678,Jaelin Marie,Howell,Jaelin,Howell,J. Howell,USA,Midfielder,Windsor,NA,4/4/24
679,Jordyn,Bloomer,Jordyn,Bloomer,J. Bloomer,USA,Goalkeeper,NA,NA,4/4/24
680,Kennedy Parker,Goins,Parker,Goins,P. Goins,USA,Attacker,Broken Arrow,NA,4/4/24
681,Kirsten,Wright,Kirsten,Wright,K. Wright,USA,Attacker,St. Louis,Kirsten Wright,4/4/24
682,Taylor,Malham,Taylor,Malham,T. Malham,USA,Midfielder,Broken Arrow,NA,4/4/24
683,Alexandra Carla,Chidiac,Alex,Chidiac,A. Chidiac,Australia,Midfielder,Adelaide,NA,9/3/23
684,Sh'nia Demetrice,Gordon,Sh'nia,Gordan,S. Gordon,USA,Attacker,Ocklawaha,NA,2/6/23
685,Rebecca Rayne,Holloway,Rebecca,Holloway,R. Holloway,Northern Ireland,Midfielder,NA,NA,9/3/23
686,Savannah Marie,DeMelo,Savannah,DeMelo,S. DeMelo,USA,Midfielder,Bellflower,NA,4/4/24
687,Sydney,Cummings,Sydney,Cummings,S. Cummings,Guyana,Defender,NA,NA,9/3/23
688,Hillary Elizabeth,Beall,Hillary,Beall,H. Beall,USA,Goalkeeper,Laguna Beach,NA,4/4/24
689,Charmé,Morgan,Charmé,Morgan,C. Morgan,USA,Defender,NA,NA,2/6/23
690,Julia Nicole,Lester,Julia,Lester,J. Lester,USA,Defender,Tampa,NA,4/4/24
691,Eva Sofia,Jakobsson,Sofia,Jakobsson,S. Jakobsson,Sweden,Attacker,Örnsköldsvik,NA,4/4/24
692,Kelsey,Turnbow,Kelsey,Turnbow,K. Turnbow,USA,Midfielder,NA,NA,9/3/23
693,Sarah,Sodoma,Sarah,Sodoma,S. Sodoma,USA,Attacker,NA,NA,2/6/23
694,Naomi,Haile Girma,Naomi,Girma,N. Girma,USA,Defender,San Jose,NA,4/4/24
695,Sydney,Pulver,Sydney,Pulver,S. Pulver,USA,Midfielder,NA,NA,2/6/23
696,Mia Irene,Gyau,Mia,Gyau,M. Gyau,USA,Defender,Silver Spring,NA,9/3/23
697,Carly,Mitchell Telford,Carly,Telford,C. Telford,England,Goalkeeper,Newcastle,NA,2/6/23
698,Taylor,Hansen,Taylor,Hansen,T. Hansen,USA,Defender,NA,NA,2/6/23
699,Amirah Iman,Ali,Amirah,Ali,A. Ali,USA,Attacker,Voorhees Township,NA,4/4/24
700,Isabella Lyn,Briede,Belle,Briede,B. Briede,USA,Midfielder,NA,NA,4/4/24
701,Marleen,Schimmer,Marleen,Schimmer,M. Schimmer,Germany,Midfielder,NA,NA,2/6/23
702,Kayla,Bruster,Kayla,Bruster,K. Bruster,USA,Defender,NA,NA,2/6/23
703,Madison,Elwell,Maddie,Elwell,M. Elwell,USA,Midfielder,Ambler,NA,9/3/23
704,Tinaya,Alexander,Tinaya,Alexander,T. Alexander,England,Attacker,NA,NA,2/6/23
705,Alia,Martin,Alia,Martin,A. Martin,USA,Defender,NA,NA,2/6/23
706,Audrey,Harding,Audrey,Harding,A. Harding,USA,Attacker,NA,NA,2/6/23
707,Almuth,Schult,Almuth,Schult,A. Schult,Germany,Goalkeeper,Dannenberg,NA,2/6/23
708,Kelsey Eileen,Dossey,Kelsey,Dossey,K. Dossey,USA,Goalkeeper,NA,NA,9/3/23
709,Bridgette Nicole,Skiba,Bridgette,Skiba,B. Skiba,USA,Goalkeeper,NA,NA,2/6/23
710,Emily Jane,Garnier,Emily,Garnier,E. Garnier,USA,Defender,NA,NA,2/6/23
711,Haley,Lanier Berg,Haley,Berg,H. Berg,USA,Attacker,NA,NA,2/6/23
712,Kayla,Hamric,Kayla,Hamric,K. Hamric,Canada,Attacker,NA,NA,2/6/23
713,Jada,Talley,Jada,Talley,J. Talley,USA,Attacker,NA,NA,2/6/23
714,Claire Marie Annie,Lavogez,Claire,Lavogez,C. Lavogez,France,Midfielder,Calais,NA,4/4/24
715,Amanda Paige,Visco,Amanda,Visco,A. Visco,USA,Defender,New Jersey,NA,2/6/23
716,Jenna,Bike,Jenna,Bike,J. Bike,USA,Attacker,Trumbull,NA,4/4/24
717,Bruna,Santos Nhaia,Bruna,Santos Nhaia,Bruninha,Brazil,Defender,Castro,Bruninha,4/4/24
718,Rikke Marie,Madsen,Rikke,Madsen,R. Madsen,Denmark,Attacker,Varde,NA,9/3/23
719,Brianne Michelle,Folds,Brianne Michelle,Folds,B. Folds,USA,Midfielder,Lakeland,Bri Folds,2/6/23
720,Fuka,Nagano,Fuka,Nagano,F. Nagano,Japan,Midfielder,NA,NA,2/6/23
721,Jordyn Pamela,Huitema,Jordyn,Huitema,J. Huitema,Canada,Attacker,Chilliwack,NA,4/4/24
722,Jodi,Sevim Ulkekul,Jodi,Ulkekul,J. Ulkekul,USA,Defender,NA,NA,2/6/23
723,Kelly,Rowswell,Kelly,Rowswell,K. Rowswell,USA,Goalkeeper,NA,NA,2/6/23
724,Haley,Bugeja,Haley,Bugeja,H. Bugeja,Malta,Attacker,Pieta,NA,9/3/23
725,Thais,Reiss de Araújo,Thais,Reiss de Araújo,Thais Reiss,Brazil,Defender,NA,Thais Reiss,9/3/23
726,Cheyenne Janae,Shorts,Cheyenne,Shorts,C. Shorts,USA,Defender,Denver,NA,9/3/23
727,Sophie,French,Sophie,French,S. French,USA,Defender,NA,NA,2/6/23
728,Isabella,Beletic,Isabella,Beletic,I. Beletic,USA,Defender,NA,NA,2/6/23
729,Hannah,Medison Adler,Hannah,Adler,H. Adler,USA,Midfielder,NA,NA,2/6/23
730,Allison,Whitfield,Allison,Whitfield,A. Whitfield,USA,Midfielder,NA,NA,2/6/23
731,Zaneta Josseline,Wyne,Zaneta,Wyne,Z. Wyne,USA,Defender,Newport Beach,NA,9/3/23
732,Shuang,Wang,Shuang,Wang,Wang Shuang,China PR,Midfielder,Wuhan,Wang Shuang,9/3/23
733,Jaedyn Reese,Shaw,Jaedyn,Shaw,J. Shaw,USA,Attacker,Frisco,NA,4/4/24
734,Jackie,Altschuld,Jackie,Altschuld,J. Altschuld,USA,Midfielder,NA,NA,2/6/23
735,Katie,Murray,Katie,Murray,K. Murray,USA,Midfielder,NA,NA,2/6/23
736,Andrea,Frerker,Andrea,Frerker,A. Frerker,USA,Midfielder,Maryville,NA,2/6/23
737,Alyssa Paola,Thompson,Alyssa,Thompson,A. Thompson,USA,Attacker,Los Angeles,Alyssa Thompson,4/4/24
738,Angelina,Anderson,Angelina,Anderson,A. Anderson,USA,Goalkeeper,Danville,NA,4/4/24
739,Sophia Grace,Jones,Sophie,Jones,S. Jones,USA,Midfielder,Menlo Park,NA,4/4/24
740,Brenna Marie,Lovera,Brenna,Lovera,B. Lovera,USA,Attacker,NA,NA,9/3/23
741,Allison,Schlegel,Ally,Schlegel,A. Schlegel,USA,Attacker,"Parker, Colorado",NA,4/4/24
742,Mackenzie Kay,Wood,Mackenzie,Wood,M. Wood,USA,Goalkeeper,Granger,NA,4/4/24
743,Júlia,Bianchi,Júlia,Bianchi,Júlia Bianchi,Brazil,Midfielder,Xanxerê,Júlia Bianchi,4/4/24
744,Penelope Elizabeth,Hocking,Penelope,Hocking,P. Hocking,USA,Attacker,NA,NA,4/4/24
745,Samantha,Feller,Sami,Feller,S. Feller,USA,Midfielder,Grand Junction,NA,4/4/24
746,Sam,Laity,Sam,Laity,S. Laity,England,Unknown,Plymouth,NA,3/23/23
747,Alexa Christine,Spaanstra,Alexa,Spaanstra,A. Spaanstra,USA,Attacker,"Brighton, MI",NA,4/4/24
748,Jordan,Silkowitz,Jordan,Silkowitz,J. Silkowitz,USA,Goalkeeper,Fairfax,NA,4/4/24
749,Gabrielle,Robinson,Gabrielle,Robinson,G. Robinson,USA,Defender,"Springfield, VA",NA,4/4/24
750,Ann Mimmi Ellenore,Larsson,Mimmi,Larsson,M. Larsson,Sweden,Attacker,NA,NA,9/3/23
751,Michelle Ivory,Cooper,Michelle,Cooper,M. Cooper,USA,Attacker,"Clarkston, Michigan",NA,4/4/24
752,Hanna Erica Maria,Glas,Hanna,Glas,H. Glas,Sweden,Defender,Sundsvall,NA,4/4/24
753,Rylan,Childers,Rylan,Childers,R. Childers,USA,Midfielder,Grain Valley,NA,9/3/23
754,Svava Rós,Guðmundsdóttir,Svava,Gudmundsdóttir,S. Guðmundsdóttir,Iceland,Attacker,NA,NA,9/3/23
755,Haley,Hopkins,Haley,Hopkins,H. Hopkins,USA,Attacker,Newport Beach,NA,4/4/24
756,Clara,Schilke,Clara,Schilke,C. Schilke,USA,Midfielder,Stafford,NA,4/4/24
757,Mille,Gejl Jensen,Mille,Gejl,M. Gejl,Denmark,Attacker,NA,NA,9/3/23
758,Olivia,Wingate,Olivia,Wingate,O. Wingate,USA,Attacker,NA,NA,4/4/24
759,Sydney Jane,Collins,Sydney,Collins,S. Collins,Canada,Defender,Hillsboro,NA,4/4/24
760,Narumi,Miura,Narumi,Miura,N. Miura,Japan,Midfielder,Kawasaki,NA,4/4/24
761,Millie Laura,Farrow,Millie,Farrow,M. Farrow,England,Attacker,Portsmouth,NA,9/3/23
762,Luany,Vitória da Silva Rosa,Luany,Vitória da Silva Rosa,Luany,Brazil,Attacker,Nova Iguaçu,Luany,4/4/24
763,Messiah,Da'kahlian Bright,Messiah,Bright,M. Bright,USA,Attacker,Dallas,NA,4/4/24
764,Summer,Faith Yates,Summer,Yates,S. Yates,USA,Attacker,Kennewick,NA,4/4/24
765,Adriana,Leal da Silva,Adriana,Leal da Silva,Adriana,Brazil,Attacker,União,Adriana,4/4/24
766,Emily May,Sams,Emily,Sams,E. Sams,USA,Defender,Boise,NA,4/4/24
