player_id,team_id,season,woodwork_hit,passess_leftside,passes_forward,passes_own_half_successful,minutes,passess_opp_half_successful,appearances,passes_opposition_half_unsuccessful,tackles_lost,duels_lost,loss_of_possession_total,passes_total,passes_unsuccessful,goals_inside_box,clearances_total,short_passes_successful,successful_passes_total,goals_outside_box,starts,crossses_corners_unsuccessful,duels_ground,ground_duels_won,clean_sheets,sub_on,goals_conceded,tackles_total,lay_offs_successful,lay_offs_unsuccessful,duels_aerial,crosses_open_play_successful,passes_backwards,passes_rightside,duels_won,total_fouls_won,launches_unsuccessful,dribbles_successful,aerial_duels_won,crosses_corners_successful,passes_own_half_unsuccessful,dribbles_unsuccessful,sub_off,goals_conceded_outside_box,touches_total_opposition_box,tackles_won,key_passes,overruns,open_play_crosses_unsuccessful,yellow_cards,passes_open_play,goals,touches,long_passess_successful,goals_conceded_penalty,duels_ground_lost,foul_attempted_tackle,short_passes_unsuccessful,fouls_conceded_total,goals_right_foot,interceptions,shots_on_target,shots_blocked,corners_won,throw_ins_to_own_player,blocks,goals_conceded_inside_box,long_passes_unsuccessful,recoveries,duels,shots_total,games_played,aerial_duels_lost,tackled,open_play_passes_successful,shots_off_target,offsides,goals_home,goals_away,goals_win,corners_taken,throw_ins_to_opposition_player,last_player_tackle,launches_successful,corners_into_box_successful,corners_into_box_unsuccessful,goal_line_clearances,handballs_conceded,goalkicks_total,goals_head,assists,through_balls,assists_intentional,gk_distribution_successful,penalties_conceded,punches,saves_penalty,gk_distribution_unsuccessful,gk_smother,saves_made,penalties_saved,penalties_faced,saves_made_inside_box,saves_made_parried,drops,catches,saves_made_caught,saves_made_outside_box,attempts_from_set_pieces,goals_left_foot,penalties_won,penalty_goals,goals_set_piece,penalties_taken,last_updated
443,12,2024,0,26,369,295,1884,277,25,153,14,87,356,787,221,0,40,536,566,0,21,14,170,93,2,4,37,35,2,0,24,6,131,261,107,41,23,18,14,6,82,20,7,4,11,21,14,2,14,3,755,0,1360,30,6,77,9,176,21,0,21,2,2,6,174,10,33,45,120,194,2,25,10,37,538,0,2,0,0,0,2,24,1,5,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-03-12
474,12,2024,1,100,297,515,1260,177,14,44,5,34,98,774,82,0,56,665,692,0,14,0,40,24,2,0,18,12,0,0,35,0,50,327,41,10,20,2,17,0,38,2,0,3,8,7,4,0,0,1,738,0,932,27,2,16,1,41,6,0,15,0,3,0,0,14,15,41,69,75,4,14,18,4,662,4,0,0,0,0,0,0,0,6,0,0,0,0,8,0,1,0,0,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-03-12
911,12,2024,0,21,16,46,90,0,1,3,0,0,8,54,8,0,1,42,46,0,1,0,0,0,1,0,0,0,0,0,2,0,0,17,2,0,3,0,2,0,5,0,0,0,0,0,0,0,0,0,45,0,60,4,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7,2,0,1,0,0,41,0,0,0,0,0,0,0,0,1,0,0,0,0,7,0,0,0,0,7,0,1,0,2,0,2,0,0,1,0,0,1,0,1,0,0,0,0,0,0,2025-03-12
913,12,2024,1,93,142,149,1866,276,21,126,20,114,293,517,120,1,11,357,397,2,21,39,223,118,3,0,34,39,19,0,13,5,114,168,122,34,9,45,4,28,33,41,4,5,67,19,38,0,12,2,496,3,994,40,6,105,11,100,17,2,15,24,14,16,5,1,29,20,104,236,54,21,9,72,380,30,7,1,2,1,42,1,0,2,19,19,0,2,0,0,4,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2025-03-12
655,12,2024,0,21,27,33,267,40,6,17,1,12,34,93,20,0,4,71,73,0,4,2,16,6,0,2,6,4,7,3,3,0,23,22,7,0,0,2,1,0,5,3,4,1,5,3,2,0,2,0,93,0,126,2,1,10,2,19,2,0,2,0,0,0,0,0,5,1,11,19,2,6,2,6,73,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-03-12
NA,12,2024,0,60,28,56,511,69,7,23,1,40,67,156,31,1,5,118,125,0,7,1,57,22,0,0,6,9,2,0,11,0,42,26,28,12,0,2,6,0,9,10,5,2,17,8,10,0,0,2,153,1,266,7,1,35,7,29,12,0,1,9,8,4,1,2,4,2,21,68,13,7,5,20,122,4,2,0,1,1,1,0,0,1,0,1,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-03-12
NA,12,2024,0,147,188,359,1318,146,15,59,12,69,138,607,103,1,47,482,504,1,15,2,101,45,3,0,20,23,5,0,31,1,123,149,63,11,25,11,18,1,46,3,3,5,13,11,7,2,2,5,584,2,809,22,1,56,10,61,25,1,15,4,3,2,0,11,15,42,81,132,10,15,13,18,482,6,0,1,1,1,0,0,0,0,0,0,0,1,3,0,1,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2025-03-12
646,12,2024,0,27,28,29,553,61,18,22,4,49,83,115,26,0,1,86,89,1,3,7,69,27,0,15,8,10,7,0,12,1,39,21,32,6,4,11,5,1,11,11,3,2,22,6,7,1,7,2,111,1,243,3,0,42,5,21,12,1,4,7,4,5,0,0,6,5,19,81,10,18,7,25,85,3,7,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-03-12
323,12,2024,0,26,25,32,254,47,15,19,0,23,50,103,25,0,2,78,78,0,2,0,38,21,0,13,8,9,2,0,7,1,35,17,22,6,1,6,1,1,6,3,2,0,9,9,5,2,0,0,103,0,167,0,0,17,3,21,4,0,4,0,0,0,2,0,8,4,16,45,2,15,6,12,78,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-03-12
NA,12,2024,2,122,180,176,846,201,10,97,13,65,168,474,106,1,15,344,368,1,10,26,98,42,2,0,11,31,4,0,14,2,58,114,47,6,13,5,5,9,35,5,2,3,9,18,21,1,9,1,453,2,661,24,1,56,4,68,12,0,14,9,3,5,2,0,8,38,60,112,14,10,9,20,350,5,0,0,2,1,25,0,0,1,6,14,0,0,0,0,3,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,1,1,1,2025-03-12
