player_id,player_id,player_match_name,player_position,team_id,season,corners_into_box_successful,games_played,short_passes_successful,shots_off_target,passes_opposition_half_unsuccessful,corners_into_box_unsuccessful,clean_sheets,crossses_corners_unsuccessful,goals_conceded_outside_box,through_balls,duels_aerial,duels_ground,open_play_crosses_unsuccessful,goals_conceded,successful_passes_total,recoveries,handballs_conceded,tackled,duels,appearances,tackles_lost,duels_won,passes_unsuccessful,passes_rightside,overruns,short_passes_unsuccessful,passes_backwards,passes_open_play,key_passes,shots_on_target,open_play_passes_successful,crosses_corners_successful,lay_offs_successful,passes_own_half_unsuccessful,launches_successful,tackles_won,goals_inside_box,minutes,starts,long_passess_successful,sub_on,loss_of_possession_total,goals_conceded_inside_box,goals_right_foot,duels_lost,lay_offs_unsuccessful,shots_total,total_fouls_won,fouls_conceded_total,tackles_total,passes_forward,yellow_cards,touches_total_opposition_box,goals_left_foot,passes_own_half_successful,passes_total,passess_leftside,dribbles_unsuccessful,crosses_open_play_successful,corners_won,interceptions,dribbles_successful,aerial_duels_lost,assists,duels_ground_lost,passess_opp_half_successful,goals,long_passes_unsuccessful,clearances_total,goals_outside_box,touches,ground_duels_won,corners_taken,assists_intentional,sub_off,foul_attempted_tackle,launches_unsuccessful,shots_blocked,aerial_duels_won,goals_home,goals_away,goals_win,woodwork_hit,goal_line_clearances,goals_conceded_penalty,offsides,throw_ins_to_own_player,blocks,penalties_conceded,attempts_from_set_pieces,goals_other,goals_head,own_goals,throw_ins_to_opposition_player,penalties_won,assists_second,gk_distribution_successful,goalkicks_total,penalty_goals,penalties_taken,penalties_saved,saves_made_inside_box,gk_smother,saves_made,catches,punches,saves_made_caught,penalties_faced,saves_made_outside_box,saves_penalty,saves_made_parried,gk_distribution_unsuccessful,drops,last_updated,,
93,93,D. O'Sullivan,Midfielder,11,2024,0,24,1060,4,102,0,4,6,3,1,41,269,6,22,1083,202,1,67,310,24,35,153,150,335,2,131,312,1222,15,1,1072,0,29,54,6,44,0,2020,22,23,2,260,19,1,157,0,5,38,29,79,325,6,19,0,604,1233,261,22,0,4,40,20,25,3,132,479,1,19,34,1,1678,137,0,3,2,19,10,3,16,0,1,1,0,0,1,2,5,2,1,0,,0,0,1,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,3/12/25,,
99,99,J. Beckie,Attacker,14,2024,2,26,384,22,147,7,2,36,5,2,28,141,25,25,396,84,0,54,169,26,10,75,152,112,3,129,158,536,23,14,385,15,11,41,2,10,3,1611,18,12,8,301,20,3,94,2,36,18,8,20,132,1,78,1,174,548,146,30,12,9,13,25,16,3,78,237,4,23,20,1,945,63,10,3,15,3,14,8,12,2,2,1,1,1,1,6,24,3,1,2,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,,0,0,0,3/12/25,,
99,99,J. Beckie,Attacker,8,2024,2,26,384,22,147,7,2,36,5,2,28,141,25,25,396,84,0,54,169,26,10,75,152,112,3,129,158,536,23,14,385,15,11,41,2,10,3,1611,18,12,8,301,20,3,94,2,36,18,8,20,132,1,78,1,174,548,146,30,12,9,13,25,16,3,78,237,4,23,20,1,945,63,10,3,15,3,14,8,12,2,2,0,1,1,1,6,24,3,1,2,,0,,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,3/12/25,,
106,106,A. Chapman,Defender,4,2024,0,8,130,1,32,0,2,2,2,0,11,34,2,12,141,21,1,2,45,8,6,25,52,61,0,29,20,187,3,0,136,1,0,22,2,7,0,542,6,11,2,67,10,0,20,0,1,7,7,13,107,2,0,0,90,193,5,2,1,0,17,0,6,0,14,52,0,23,20,0,323,20,0,0,2,5,16,0,5,0,0,0,0,0,2,1,34,4,1,0,,0,0,5,0,,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,,3/12/25,,
119,119,R. Rodriguez,Midfielder,15,2024,0,20,469,6,72,0,1,3,2,6,22,140,3,25,490,87,1,34,162,20,17,85,135,132,0,102,128,616,4,6,481,0,16,66,4,22,1,1139,13,21,7,200,23,0,77,0,12,19,30,39,207,3,22,1,250,625,158,16,0,2,17,10,4,0,73,240,1,33,31,0,864,67,0,0,7,22,20,6,18,1,0,0,1,0,2,0,0,1,0,0,,0,,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,3/12/25,,
122,122,K. O'Hara,Defender,5,2024,1,3,29,0,12,1,0,4,0,0,4,4,3,0,32,9,0,1,8,3,1,6,12,0,0,11,5,43,0,0,31,1,0,4,2,0,0,81,1,3,2,21,0,0,2,0,0,1,0,1,32,0,0,0,19,44,7,0,0,1,1,0,0,0,2,14,0,1,5,0,72,2,2,0,1,0,1,0,4,0,0,0,0,0,0,0,7,0,0,0,,0,0,4,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,3/12/25,,
123,123,N. Stanton,Midfielder,6,2024,0,7,33,0,9,0,0,0,0,0,6,10,0,4,36,6,0,2,16,7,4,11,11,13,0,8,4,47,0,0,36,0,0,2,3,0,0,111,0,3,7,15,4,0,5,0,0,2,1,4,18,0,0,0,17,47,12,0,0,0,3,0,1,0,4,19,0,3,8,0,74,6,0,0,0,0,2,0,5,0,0,0,0,0,0,0,0,1,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,3/12/25,,
144,144,C. Pickett,Defender,7,2024,20,26,635,5,222,24,5,74,3,3,21,86,38,26,697,120,0,19,107,26,13,46,227,285,1,133,139,873,43,8,661,45,1,79,8,17,2,1842,20,62,6,360,23,0,61,1,13,3,14,30,461,2,28,1,375,924,39,10,16,6,21,8,16,2,45,367,2,94,44,0,1317,41,45,2,2,6,46,4,5,1,1,0,0,1,4,0,22,9,0,0,,1,0,2,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,3/12/25,,
145,145,H. Solaun,Midfielder,4,2024,0,5,72,0,11,0,0,0,1,0,4,16,0,5,76,17,0,3,20,5,3,9,19,29,0,16,23,95,0,1,76,0,0,8,0,1,1,165,1,4,4,24,4,0,11,0,1,1,3,4,27,1,2,1,40,95,16,2,0,0,1,3,3,0,8,36,1,3,3,0,122,8,0,0,1,2,0,0,1,0,1,1,0,0,0,0,0,1,0,0,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,,3/12/25,,
150,150,L. Barnes,Defender,6,2024,9,21,785,1,114,14,2,22,3,0,15,60,4,28,869,94,0,2,75,21,12,46,143,425,0,59,84,965,9,0,836,11,0,51,21,14,0,1497,17,84,4,175,25,0,29,0,1,5,8,26,379,1,1,0,633,1012,124,0,0,3,16,6,6,0,23,247,0,84,60,0,1213,37,24,0,5,6,41,0,9,0,0,0,0,0,5,0,3,8,1,0,,0,0,1,0,,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,3/12/25,,
